Source,Target,Type,Tipos_interaccion
Diglossa sittoides,Streptosolen jamesonii,Undirected,eats
Streptosolen jamesonii,Turdus fuscater gigas,Undirected,eats
Rupornis magnirostris,Tyrannus melancholicus,Undirected,interactsWith
Citharexylum subflavescens,Tyrannus melancholicus,Undirected,eats
Oreopanax incisus,Tyrannus melancholicus,Undirected,eats
Bocconia frutescens,Tyrannus melancholicus,Undirected,eats
Solanum laxum,Tyrannus melancholicus,Undirected,eats
Colibri coruscans,Nicotiana tabacum,Undirected,eats; visits; visitsFlowersOf
Colibri coruscans,Duranta mutisii,Undirected,eats
Clusia multiflora,Colibri coruscans,Undirected,eats
Colibri coruscans,Impatiens sodenii,Undirected,eats
Bocconia frutescens,Thraupis episcopus,Undirected,eats
Bocconia frutescens,Turdus fuscater gigas,Undirected,eats
Bocconia frutescens,Cardellina canadensis,Undirected,eats
Bocconia frutescens,Icterus chrysater,Undirected,eats
Bocconia frutescens,Myiodynastes luteiventris,Undirected,eats
Bocconia frutescens,Setophaga fusca,Undirected,eats
Bocconia frutescens,Zenaida auriculata,Undirected,eats
Atlapetes pallidinucha,Bocconia frutescens,Undirected,eats
Cornu aspersum,Solanum laxum,Undirected,visits
Empidonomus varius,Solanum laxum,Undirected,eats
Oreopanax incisus,Thraupis episcopus,Undirected,eats
Citharexylum subflavescens,Thraupis episcopus,Undirected,eats
Heterogomphus dilaticollis,Physalis peruviana,Undirected,eats
Solanum quitoense,Zelus longipes,Undirected,interactsWith
Clusia multiflora,Diglossa albilatera,Undirected,eats; pollinates
Clusia multiflora,Diglossa sittoides,Undirected,eats
Clusia multiflora,Icterus chrysater,Undirected,eats
Egretta caerulea,Tringa solitaria,Undirected,interactsWith
Hydrocotyle ranunculoides,Podilymbus podiceps,Undirected,coOccursWith
Dendrocygna autumnalis,Spatula discors,Undirected,interactsWith
Smallanthus pyramidalis,Synallaxis subpudica,Undirected,coOccursWith
Cardellina canadensis,Oreopanax incisus,Undirected,eats
Cardellina canadensis,Citharexylum subflavescens,Undirected,eats
Oreopanax incisus,Turdus fuscater gigas,Undirected,eats
Oreopanax incisus,Zenaida auriculata,Undirected,eats
Icterus chrysater,Oreopanax incisus,Undirected,eats
Oreopanax incisus,Setophaga fusca,Undirected,eats
Myrcianthes leucoxyla,Turdus fuscater gigas,Undirected,eats; hasVector
Salix humboldtiana,Turdus fuscater gigas,Undirected,coOccursWith
Turdus fuscater gigas,Xylosma spiculifera,Undirected,eats
Duranta mutisii,Vireo flavoviridis,Undirected,eats
Alnus acuminata,Zenaida auriculata pentheria,Undirected,coOccursWith; eats
Alnus acuminata,Spinus spinescens,Undirected,eats
Alnus acuminata,Zenaida auriculata,Undirected,eats
Rallus semiplumbeus,Rupornis magnirostris,Undirected,eats
Rupornis magnirostris,Zenaida auriculata,Undirected,eats
Sicalis flaveola,Zenaida auriculata,Undirected,interactsWith
Citharexylum subflavescens,Zenaida auriculata,Undirected,eats
Abatia parviflora,Spinus spinescens,Undirected,eats
Citharexylum subflavescens,Setophaga fusca,Undirected,eats
Citharexylum subflavescens,Zenaida auriculata pentheria,Undirected,coOccursWith; eats
Citharexylum subflavescens,Icterus chrysater,Undirected,eats
Salix humboldtiana,Tyrannus savana,Undirected,eats
Pyrocephalus rubinus,Quercus humboldtii,Undirected,eats
Icterus chrysater,Quercus humboldtii,Undirected,eats
Fulica americana columbiana,Hydrocotyle ranunculoides,Undirected,interactsWith
Fulica americana columbiana,Porphyrio martinica,Undirected,interactsWith
Fulica americana columbiana,Schoenoplectus californicus,Undirected,coOccursWith; eats
Butorides striata,Porphyrio martinica,Undirected,interactsWith
Dendrocygna viduata,Schoenoplectus californicus,Undirected,eats
